Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,13422,54,20,8,2018-09-27
Entertainment,24697,343,31,474,2018-09-27
Entertainment,10607,154,42,12,2018-09-27
Entertainment,6462,84,5,8,2018-09-27
Entertainment,4062,46,11,6,2018-09-27
Entertainment,4257,41,0,45,2018-09-27
Entertainment,8662,91,7,25,2018-09-27
Entertainment,4824,47,6,4,2018-09-27
Entertainment,6141,64,5,3,2018-09-27
Entertainment,2367,23,2,3,2018-09-27
Entertainment,12761,143,51,37,2018-09-27
Entertainment,36100,125,22,21,2018-09-27
Entertainment,24401,225,13,47,2018-09-27
Entertainment,18320,234,21,22,2018-09-27
Entertainment,54666,213,101,24,2018-09-26
Entertainment,93457,766,59,1302,2018-09-26
Entertainment,39336,306,13,38,2018-09-26
Entertainment,34247,291,126,16,2018-09-26
Entertainment,12978,31,9,15,2018-09-26
Entertainment,10628,65,14,6,2018-09-26
Entertainment,8505,75,5,82,2018-09-26
Entertainment,27097,156,26,21,2018-09-26
Entertainment,4715,32,4,4,2018-09-26
Entertainment,20272,118,22,10,2018-09-26
Entertainment,12708,91,38,23,2018-09-26
Entertainment,11003,79,16,9,2018-09-26
Entertainment,29807,311,46,33,2018-09-26
Entertainment,25717,273,24,22,2018-09-26
Entertainment,18306,215,26,37,2018-09-26
Entertainment,7182,79,15,16,2018-09-26
Entertainment,222629,401,127,30,2018-09-26
Entertainment,38158,175,25,38,2018-09-26
Entertainment,53969,195,70,32,2018-09-25
Entertainment,41929,340,15,58,2018-09-25
Entertainment,122699,1087,65,1184,2018-09-25
Entertainment,51593,466,134,34,2018-09-25
Entertainment,13774,90,10,7,2018-09-25
Entertainment,23111,153,27,14,2018-09-25
Entertainment,4958,47,6,53,2018-09-25
Entertainment,25452,133,15,14,2018-09-25
Entertainment,6341,37,7,5,2018-09-25
Entertainment,16815,137,28,10,2018-09-25
Entertainment,13077,121,31,18,2018-09-25
Entertainment,61012,735,31,76,2018-09-25
Entertainment,68435,296,16,61,2018-09-25
Entertainment,102712,225,68,33,2018-09-25
Entertainment,65444,269,80,23,2018-09-24
Entertainment,65050,588,15,112,2018-09-24
Entertainment,59470,537,44,29,2018-09-24
Entertainment,20814,140,25,15,2018-09-24
Entertainment,7680,50,13,152,2018-09-24
Entertainment,27750,138,31,10,2018-09-24
Entertainment,4786,36,3,2,2018-09-24
Entertainment,56092,362,36,13,2018-09-24
Entertainment,5129,48,6,5,2018-09-24
Entertainment,14848,91,7,8,2018-09-24
Entertainment,58765,378,50,67,2018-09-24
Entertainment,114605,392,109,32,2018-09-24
Entertainment,84947,337,53,77,2018-09-23
Entertainment,588720,4383,456,281,2018-09-23
Entertainment,406293,914,260,97,2018-09-23
Entertainment,1383240,8968,1251,576,2018-09-22
Entertainment,71553,609,90,152,2018-09-22
Entertainment,53960,163,49,23,2018-09-22
Entertainment,156146,902,103,124,2018-09-22
Entertainment,3031058,18051,2002,567,2018-09-22
Entertainment,62610,132,42,9,2018-09-21
Entertainment,33722,87,12,8,2018-09-21
Entertainment,55839,252,57,27,2018-09-21
Entertainment,7396,47,8,4,2018-09-21
Entertainment,114232,367,203,19,2018-09-21
Entertainment,5188,41,8,7,2018-09-21
Entertainment,50636,257,30,48,2018-09-21
Entertainment,49946,103,30,13,2018-09-21
Entertainment,60512,233,100,30,2018-09-20
Entertainment,234315,1223,150,2647,2018-09-20
Entertainment,51434,337,102,20,2018-09-20
Entertainment,44068,150,19,18,2018-09-20
Entertainment,11395,68,10,3,2018-09-20
Entertainment,8255,32,11,4,2018-09-20
Entertainment,70928,149,195,10,2018-09-20
Entertainment,5401,39,4,5,2018-09-20
Entertainment,461432,2250,311,241,2018-09-20
Entertainment,59056,242,70,27,2018-09-19
Entertainment,150744,903,89,1067,2018-09-19
Entertainment,101804,778,141,36,2018-09-19
Entertainment,47410,272,48,14,2018-09-19
Entertainment,9810,71,8,91,2018-09-19
Entertainment,7377,50,3,6,2018-09-19
Entertainment,7599,51,11,3,2018-09-19
Entertainment,27088,181,33,20,2018-09-19
Entertainment,64945,304,117,21,2018-09-18
Entertainment,54675,347,18,38,2018-09-18
Entertainment,135935,418,94,829,2018-09-18
Entertainment,22424,129,5,4,2018-09-18
Entertainment,53951,306,76,54,2018-09-18
Entertainment,30779,66,60,4,2018-09-18
Entertainment,6630,53,6,3,2018-09-18
Entertainment,18534,146,31,12,2018-09-18
Entertainment,31637,237,70,21,2018-09-17
Entertainment,6759842,23741,2629,665,2018-07-02
Entertainment,1384255,6365,851,282,2018-07-01
Entertainment,9621629,61716,5459,1755,2018-06-27
Entertainment,6661787,37892,2884,1038,2018-06-19
Entertainment,3318406,17823,2278,591,2018-06-16
Entertainment,7382798,35842,4479,1470,2018-06-08
Entertainment,7397654,26091,3919,1108,2018-06-03
Entertainment,385502,2877,151,72,2018-05-29
Entertainment,1017575,7093,597,249,2018-05-27
Entertainment,4843080,29561,2256,752,2018-05-25
Entertainment,2591728,11439,1526,285,2018-05-24
Entertainment,3313230,21540,1503,585,2018-05-23
Entertainment,1563997,14599,791,475,2018-05-11
Entertainment,960247,6275,411,124,2018-05-11
Entertainment,3899460,11609,1914,271,2018-05-10
Entertainment,1041815,6397,494,143,2018-05-10
Entertainment,1622572,9328,838,231,2018-05-09
Entertainment,11201363,57691,5188,2341,2018-05-03
Entertainment,397542,1833,219,37,2018-04-30
Entertainment,4623933,22362,2210,365,2018-04-30
Entertainment,2578094,9780,1432,528,2018-04-29
Entertainment,949971,5901,393,150,2018-04-27
Entertainment,9487809,48930,4087,1195,2018-04-25
Entertainment,3535372,17055,2029,685,2018-04-24
Entertainment,11382247,72039,5550,1659,2018-04-23
Entertainment,4351990,25046,1790,615,2018-04-20
Entertainment,1161958,5265,625,180,2018-04-12
Entertainment,1655295,8796,784,220,2018-04-09
Entertainment,12573741,67292,13030,5148,2018-04-05
Entertainment,1359925,5524,690,166,2018-04-05
Entertainment,11231390,61941,7024,1862,2018-04-04
Entertainment,1469709,9694,611,292,2018-04-03
Entertainment,1180386,9076,487,204,2018-04-02
Entertainment,432803,2343,189,103,2018-04-02
