Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Comedy,6329115,1225259,8760,33959,2018-09-10
Comedy,6795167,1487888,14061,37795,2018-08-30
Comedy,7101096,1789886,12634,39724,2018-08-16
Comedy,7769928,1448525,14648,33807,2018-08-08
Comedy,10402754,1850824,16270,48437,2018-07-22
Comedy,7934703,1727347,12101,57314,2018-07-11
Comedy,5431396,1067175,12945,20524,2018-07-05
Comedy,11534042,2227454,14588,94170,2018-05-30
Comedy,11723994,2518899,14773,130953,2018-05-25
Comedy,8407539,1721040,10049,39851,2018-05-22
Comedy,13084471,2912983,18939,50492,2018-05-12
Comedy,13243326,2056042,14844,39070,2018-04-17
Comedy,9648233,1819286,14716,22012,2018-04-13
Comedy,10893388,1776728,15720,36105,2018-04-04
Comedy,8965699,2131413,15606,32771,2018-03-20
Comedy,10066050,1504701,16974,39910,2018-03-12
Comedy,6668734,949113,8364,28303,2018-03-09
Comedy,11039966,1809319,16535,37691,2018-02-21
Comedy,9763694,2011178,12265,38081,2018-02-18
Comedy,15245247,2902602,18917,58492,2018-01-26
Comedy,8666738,2490278,16235,92331,2018-01-06
Comedy,37292244,2669994,27247,55206,2017-12-21
Comedy,14971378,3941458,32767,45480,2017-12-08
Comedy,10130188,2147950,13741,41168,2017-11-29
Comedy,8181625,2051858,13059,34410,2017-11-19
Comedy,10702733,1729837,12070,44597,2017-11-07
Comedy,46584286,3908662,44884,142648,2017-10-22
Comedy,6445127,750741,9960,15746,2017-10-15
Comedy,3809655,582090,7457,11225,2017-10-09
Comedy,15156784,2833930,16243,47994,2017-10-06
Comedy,7631483,1760171,11050,28860,2017-10-02
Comedy,9758245,1406052,15551,28681,2017-09-26
Comedy,5952359,1066727,6715,22378,2017-09-22
Comedy,21531184,3349962,29918,98241,2017-09-19
Comedy,13544415,2837364,30635,37545,2017-09-14
Comedy,9255357,1655743,11164,25749,2017-09-11
Comedy,27073160,2586965,31952,104106,2017-08-30
Comedy,16084751,3379445,25248,58122,2017-08-21
Comedy,5751900,1117000,5792,27871,2017-08-18
Comedy,13012136,1655844,17903,25596,2017-08-15
Comedy,10586965,1744899,12263,30326,2017-08-14
Comedy,13769105,1977733,20055,45332,2017-08-11
Comedy,53695854,3573454,67071,112379,2017-08-02
Comedy,13602513,1674172,17238,49134,2017-07-28
Comedy,9105879,1568730,24303,30071,2017-07-18
Comedy,36161199,3352643,45761,149644,2017-06-26
Comedy,15537025,1887812,14921,41573,2017-06-17
Comedy,6663855,994590,15095,27171,2017-06-13
Comedy,4304724,909412,4800,24468,2017-06-10
Comedy,24221482,1630810,22195,32453,2017-06-04
Comedy,12427257,1623368,13740,27157,2017-05-29
Comedy,12508816,2359098,16035,58477,2017-05-26
Comedy,17638333,2280379,17600,46399,2017-05-14
Comedy,12476271,1882630,14482,51995,2017-05-11
Comedy,38369260,4002593,65631,131429,2017-04-21
Comedy,11802635,1615036,18073,35349,2017-04-15
Comedy,46361307,2338264,45671,67686,2017-04-09
Comedy,19684602,2540390,36562,111241,2017-03-30
Comedy,29106806,2820064,31664,78689,2017-03-24
Comedy,29200530,2052980,27710,90438,2017-03-08
Comedy,21395736,2784618,18705,59558,2017-03-02
Comedy,33969653,1914558,40022,56389,2017-02-24
Comedy,18170027,2391658,22031,39871,2017-02-20
Comedy,15702652,1940273,23460,82035,2017-02-05
Comedy,21300991,2381813,18218,89249,2017-01-23
Comedy,8288836,1125425,8163,28551,2017-01-19
Comedy,6595180,1264798,7674,56604,2017-01-13
Comedy,15787746,2263731,18702,42065,2016-12-27
Comedy,44773830,1916560,25807,68328,2016-12-21
Comedy,16273990,1909437,16804,41384,2016-12-10
Comedy,15097174,1262008,58285,45394,2016-12-07
Comedy,31231775,3206771,29590,70131,2016-12-02
Comedy,19651978,2929962,15923,58902,2016-11-09
Comedy,24051428,2393139,15096,73827,2016-11-05
Comedy,9527114,1179767,16642,30115,2016-10-27
Comedy,13491211,1710918,22341,39011,2016-10-21
Comedy,17254358,2403056,16398,60023,2016-10-13
Comedy,17578501,2368411,15033,41473,2016-10-07
Comedy,3406652,367537,14035,10917,2016-10-06
Comedy,16816991,1743323,10450,68104,2016-09-30
Comedy,11983008,1448842,23579,33175,2016-09-25
Comedy,10356790,2080008,8649,37907,2016-09-21
Comedy,17007687,2422272,12710,48401,2016-09-17
Comedy,11730795,1677568,22543,48524,2016-09-09
Comedy,20410938,2000087,20192,50701,2016-09-01
Comedy,11302944,1378042,7297,45343,2016-08-26
Comedy,8701748,1078362,12212,25974,2016-08-21
Comedy,12876025,1674737,27785,55258,2016-08-08
Comedy,11251039,2523016,19645,155936,2016-07-27
Comedy,5813452,642953,4928,14996,2016-07-16
Comedy,25224258,2703751,16183,79405,2016-07-13
