Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Music,3561887,127052,1344,14238,2018-09-15
Music,120362577,3672974,104288,599723,2018-09-14
Music,5414300,130598,3260,19670,2018-09-14
Music,7386352,185674,3811,33376,2018-09-13
Music,9236708,248355,4826,34175,2018-09-12
Music,5196439,141401,1872,11395,2018-08-31
Music,23001008,430133,8740,35811,2018-08-31
Music,12191841,316859,5992,23515,2018-08-31
Music,1303740,70396,924,4328,2018-07-19
Music,1187388,17756,1933,1166,2018-03-28
Music,252738,11719,249,829,2018-01-09
Music,643765,17901,1165,1618,2017-12-20
Music,144523,6939,145,592,2017-12-07
Music,12707113,253122,17183,49111,2016-10-19
Music,94517,2773,38,141,2015-10-27
Music,119984,4339,77,472,2015-10-16
Music,108570,3972,24,87,2015-08-13
Music,100191,1996,38,256,2015-07-31
Music,15739,686,6,33,2015-07-30
Music,16429,630,5,25,2015-07-30
Music,22094,702,7,21,2015-07-30
Music,381550,5738,98,822,2015-07-28
Music,225583,4540,45,200,2015-07-27
Music,89386,2519,50,109,2015-07-25
Music,439629,5694,60,545,2015-07-24
Music,1463482,14858,207,1273,2015-07-23
Music,130153,2672,21,110,2015-07-23
Music,66453,2477,16,154,2015-07-22
Music,115853,2484,20,114,2015-07-11
Music,166738,4043,29,269,2015-07-08
Music,369259,8139,80,497,2015-07-07
Music,164540,3355,24,178,2015-06-30
Music,5314205,47635,1745,5646,2015-06-02
Music,3943292,16315,765,1455,2015-03-27
Music,142522,4883,40,451,2014-12-01
Music,85450,2612,58,121,2014-11-25
Music,255054,3793,63,182,2014-11-21
Music,1089378,10832,94,986,2014-11-18
Music,94809,2318,33,111,2014-11-13
Music,233309,4269,35,352,2014-11-12
Music,117987,3801,39,199,2014-11-06
Music,171208,2829,82,200,2014-09-09
Music,966332,3179,47,214,2014-09-02
Music,272695,4117,73,302,2014-08-26
Music,146160,6790,65,284,2014-08-26
Music,8543079,91616,2402,10936,2014-08-25
Music,666911,6636,80,514,2014-08-15
Music,272485,6404,54,348,2014-05-09
Music,1193685,22045,381,1510,2013-11-22
Music,220729,4087,72,288,2013-11-09
Music,1044032,7349,265,467,2013-11-08
Music,348883,5544,80,324,2013-11-08
Music,701198,6758,418,572,2013-11-05
Music,58755106,491556,27692,130098,2013-10-14
Music,11667501,77064,2695,5559,2013-09-06
Music,18180334,166651,5803,30471,2013-08-14
Entertainment,210799,1067,25,135,2013-02-08
Music,752977,8620,152,832,2013-02-08
Music,184632,883,57,223,2012-06-08
Music,112833,1126,26,144,2012-03-22
Music,529268,3219,53,711,2011-10-12
Music,175137,1828,25,283,2011-09-12
Music,283277,2647,33,546,2011-09-12
Music,238512,1727,27,300,2011-09-06
Music,297659,2062,23,313,2011-09-03
Music,275502,1753,29,298,2011-08-25
Music,425892,2102,183,513,2011-08-21
Music,314496,1505,44,216,2011-06-15
Music,1517410,30518,452,2624,2011-06-14
Music,1122928,2989,185,940,2011-06-10
Music,534852,2723,58,363,2011-06-07
Music,784141,3623,66,688,2011-05-28
Entertainment,1953124,3493,139,871,2010-09-30
Entertainment,311391,937,1226,889,2010-06-17
Entertainment,440735,4332,153,648,2010-06-16
Entertainment,929065,4005,237,844,2010-06-15
Music,546175,3331,74,599,2010-06-14
Music,20728553,35453,2241,11764,2009-04-07
Music,102581219,435481,16472,55487,2007-05-24
