Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,298619,24443,630,2480,2018-06-09
Entertainment,218650,14472,583,1250,2018-05-22
Entertainment,975849,13638,560,893,2017-11-09
Film & Animation,0,0,0,0,2017-10-04
Entertainment,3268264,14279,1922,998,2017-09-27
Music,912151,35873,1587,2396,2017-08-21
Music,93263,6566,189,516,2017-07-11
Music,1625982,54469,794,1574,2017-06-22
Music,546172,18072,586,1027,2017-06-17
Music,7284577,122092,7263,9655,2017-06-13
Music,65405,1182,47,74,2017-06-12
Music,3481886,43634,3048,2665,2017-06-12
Music,215337,7856,152,563,2017-06-11
Music,88159,3252,91,163,2017-06-09
Music,157331,7047,241,894,2017-06-02
Music,0,779,29,0,2017-05-25
Music,961963,32714,4036,2809,2017-05-22
Music,439732,14687,789,1313,2017-05-21
Music,51583,4375,50,359,2017-05-17
Music,159483,9266,281,648,2017-05-16
Music,1150371,37412,2701,5865,2017-05-12
Music,537158,10901,618,619,2017-02-18
Music,217171,3278,98,146,2015-08-31
Entertainment,584755,5521,262,344,2014-06-02
Entertainment,394166,3384,143,443,2014-01-15
Entertainment,546881,7114,712,611,2013-10-28
Entertainment,283100,2405,110,267,2012-05-25
Music,3730614,8326,260,856,2012-04-04
Music,329682,2432,182,520,2012-03-23
Music,124183,327,62,32,2012-03-23
Music,530367,3447,156,302,2012-03-20
Music,4359573,33074,589,1619,2012-01-17
Music,2614834,16586,332,1711,2012-01-17
Music,481191,5693,162,725,2011-11-02
Music,410232,3181,141,470,2011-09-29
Music,336203,2460,83,380,2011-09-02
Music,261246,2109,60,294,2011-08-14
Music,1567111,6976,800,941,2011-08-08
Entertainment,107635,514,43,69,2011-07-29
Entertainment,94328,587,45,102,2011-07-27
Entertainment,80959,405,45,36,2011-07-25
Entertainment,655026,1984,151,192,2011-07-22
Entertainment,227831,777,59,152,2011-07-20
Entertainment,3782528,5103,973,877,2011-07-15
Music,302388,1247,102,379,2011-07-13
Music,508316,5671,116,746,2011-06-22
Music,199139,1646,53,215,2011-05-13
Music,427926,2923,104,343,2011-04-28
Music,446811,1984,142,304,2011-04-19
Music,320998,2321,91,345,2011-04-13
Music,179579,905,273,240,2011-04-12
Music,443238,3463,90,422,2011-03-29
Music,1708445,2798,413,673,2011-03-21
Music,40985308,117610,3783,20807,2011-03-17
Music,506383,3283,91,671,2011-03-08
Music,286768,1859,97,269,2011-01-22
Music,111370,777,66,150,2011-01-11
Music,291801,570,47,171,2010-11-09
Music,657735,4676,141,473,2010-11-03
Music,163266,754,46,168,2010-10-26
Music,749111,2015,140,606,2010-10-21
Music,237011,1182,40,191,2010-10-18
Music,2851394,7408,424,1880,2010-10-16
Music,198834,1085,48,309,2010-10-12
Music,322675,1320,73,273,2010-10-04
Music,168954,531,25,125,2010-09-27
Music,417760,1432,56,293,2010-09-21
Music,569836,1542,83,596,2010-09-14
Music,320184,1706,80,531,2010-09-07
Music,2752189,8570,473,1324,2010-08-27
Music,619903,1765,181,838,2010-08-18
Music,277675,1417,73,360,2010-08-13
Music,14715750,55017,1964,6524,2010-08-03
Music,339274,1938,53,278,2010-08-03
Music,6152299,29771,2411,13270,2010-07-27
Music,40238735,89698,3866,15104,2010-07-24
Music,830271,2308,128,586,2010-07-15
Music,2761749,6270,669,3919,2010-07-07
Music,1110850,1970,165,706,2010-06-18
Music,6605351,3777,777,1948,2010-06-15
Music,4359086,3221,508,909,2010-06-11
Music,2684868,3684,505,1466,2010-06-07
Music,437536,748,25,125,2010-05-27
Music,33608824,45698,3567,9829,2010-05-07
Music,211428,598,31,98,2009-09-02
Music,1719036,3977,923,1441,2008-11-18
