Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,48617,3178,304,80,2018-09-21
Entertainment,90967,5523,383,198,2018-09-20
Entertainment,328765,21602,542,1213,2018-09-16
Entertainment,1188202,30784,1924,2350,2018-09-13
Entertainment,225296,15721,362,761,2018-09-12
Entertainment,198445,17423,341,1189,2018-09-11
Entertainment,108591,3001,86,185,2017-07-11
Entertainment,2047976,49397,889,2942,2017-06-07
Entertainment,50380,2169,26,113,2016-12-16
Entertainment,123365,3789,28,167,2016-05-09
Entertainment,735085,6433,229,494,2016-01-28
Entertainment,469109,5471,150,430,2016-01-04
Entertainment,372456,4409,123,323,2015-12-21
Entertainment,1348450,8997,476,458,2015-12-16
Entertainment,373441,4234,182,398,2015-12-08
Entertainment,46899,2281,22,83,2015-12-07
Entertainment,436591,5473,116,390,2015-12-04
Entertainment,1302605,9311,748,712,2015-11-28
Entertainment,461132,5283,95,262,2015-11-19
Entertainment,62303,1948,28,58,2015-10-13
Entertainment,94097,3310,31,199,2015-06-19
Entertainment,2465534,17212,589,328,2015-05-01
Entertainment,779935,3259,113,126,2015-02-05
Entertainment,735198,5170,258,449,2015-01-31
Entertainment,445283,5458,72,258,2014-11-15
Entertainment,567894,5877,213,277,2013-11-14
Entertainment,46002,737,33,56,2013-11-01
Entertainment,118500,1207,41,70,2013-10-24
Entertainment,39151,745,16,42,2013-10-23
Entertainment,2865612,17072,1411,1890,2013-10-02
Entertainment,9481109,76574,2229,5018,2013-09-28
Entertainment,98038,1086,34,67,2013-09-26
Entertainment,414146,4154,72,310,2013-09-13
Entertainment,156733,1324,35,112,2013-09-12
Entertainment,108431,1552,35,100,2013-05-03
Entertainment,232676,1455,27,185,2013-03-08
Entertainment,80483,705,13,105,2013-03-06
Entertainment,387161,2243,41,198,2013-03-06
