Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Gaming,7687049,951473,50585,184554,2018-09-21
Gaming,20529169,1322247,129806,296660,2018-04-06
Gaming,17471955,717524,41803,231880,2017-12-13
Gaming,17642558,871486,22442,109913,2017-12-01
Comedy,22092265,980320,31207,127818,2017-11-21
Gaming,11541041,516941,14629,40904,2017-11-04
Entertainment,19438683,962828,23039,87898,2017-10-27
Gaming,14304184,705402,17857,52244,2017-10-14
Entertainment,17379153,846037,17934,62247,2017-09-29
Gaming,22830004,939962,26176,67824,2017-09-22
Gaming,22770642,1349260,47387,122388,2017-09-15
Gaming,9062167,448091,12330,25984,2017-09-09
Gaming,16429430,1300615,64034,156609,2017-09-01
Gaming,14407195,619075,19924,39829,2017-08-25
Gaming,23862979,799864,21440,56223,2017-08-17
Gaming,13807054,781256,17235,60832,2017-08-11
Entertainment,12039292,670576,22239,78802,2017-08-06
Entertainment,12910346,759556,14741,51047,2017-08-02
Gaming,11484240,658853,21591,42294,2017-07-22
Gaming,11692719,508191,14855,36732,2017-07-14
Gaming,14264731,602417,13188,59642,2017-07-08
Gaming,17684691,721963,17188,56786,2017-06-30
Gaming,13736020,584969,15934,39263,2017-06-20
Entertainment,10150281,695644,11343,52743,2017-06-15
Gaming,20262213,815864,14649,33810,2017-06-06
Entertainment,12851261,780486,19933,42292,2017-06-02
Entertainment,22661930,802983,31564,69287,2017-05-31
Gaming,8761691,430441,15661,15950,2017-05-26
Entertainment,29730851,1476707,57942,124392,2017-05-23
Entertainment,19699926,836318,36307,110417,2017-05-12
Entertainment,13957015,995955,60528,95766,2017-05-09
Entertainment,19852284,1010783,375951,233530,2017-05-05
Gaming,9658297,475059,12814,47442,2017-03-25
Gaming,15361668,1087238,13370,107610,2017-03-20
Gaming,22030841,1459173,18118,68795,2017-03-18
Entertainment,21654985,1296765,50322,128754,2017-02-26
Gaming,16350528,702852,14350,57708,2017-02-23
Comedy,22794720,1072451,32371,73984,2017-02-19
Gaming,20451328,857807,18436,86075,2017-01-25
Gaming,31810255,995259,28363,57052,2017-01-10
Gaming,9344132,416776,10811,80269,2017-01-08
Gaming,22017710,1131790,16257,107615,2017-01-05
Gaming,44903037,1189643,28063,120069,2016-12-21
Gaming,23520067,760503,28837,68775,2016-12-16
Gaming,30626490,1070337,30435,69766,2016-11-30
Gaming,39269234,844389,23142,74157,2016-11-24
Gaming,17156174,573354,19953,53865,2016-11-20
Gaming,16398318,750449,14025,92394,2016-11-15
Gaming,17834036,596284,10705,60501,2016-11-01
Gaming,24545368,688686,23530,67525,2016-10-28
Gaming,10518424,457075,27422,58012,2016-10-23
Gaming,27565708,918921,23611,76016,2016-10-19
Gaming,30831322,1093198,28049,51427,2016-10-15
Gaming,28568889,810849,17215,121095,2016-10-09
Gaming,18251260,702533,17022,56981,2016-10-05
Gaming,18641790,588912,14271,55793,2016-09-30
Gaming,30999038,1023544,19929,102269,2016-09-25
Gaming,16408258,1055004,25872,64389,2016-09-21
Gaming,14975832,487494,11172,34295,2016-09-16
Gaming,30028029,906915,23557,59056,2016-09-11
Gaming,17081042,741072,17117,66450,2016-09-07
Gaming,26906805,1051376,26382,77893,2016-08-14
Gaming,22215856,938992,20931,95018,2016-08-10
Gaming,19676471,672186,24549,84721,2016-07-29
Gaming,19562221,749727,15258,61047,2016-07-21
Gaming,17542078,566043,14348,59472,2016-07-15
Gaming,21755405,1069725,23431,86794,2016-07-09
Gaming,16823825,744430,19443,70118,2016-07-01
Gaming,29633108,1622862,52199,286817,2016-06-26
Gaming,24737002,899038,16045,68659,2016-06-23
Gaming,18292966,1229589,17867,67826,2016-06-16
Gaming,23929004,843979,20779,54120,2016-06-13
Gaming,14957308,631930,13328,74909,2016-06-09
Gaming,26571235,1116804,27291,151606,2016-06-02
Gaming,38153296,1000849,26401,62143,2016-05-29
Gaming,39715596,1066019,28044,80762,2016-05-26
Gaming,23047923,1295854,21257,89517,2016-05-17
Gaming,10331328,517679,9078,62131,2016-05-11
