Channel Category,Views,Likes,Dislikes,Comments,Publish Date
People & Blogs,679158,160921,2411,35888,2018-09-28
Entertainment,538589,57507,1281,8437,2018-09-27
Entertainment,2130214,209365,1870,20772,2018-09-23
Entertainment,2291986,237521,2317,21927,2018-09-22
Entertainment,1524918,163259,1788,15994,2018-09-21
Entertainment,1779849,152476,1771,20546,2018-09-20
Entertainment,1401152,133741,1486,34993,2018-09-19
Entertainment,6118469,388633,9337,154552,2018-09-18
Entertainment,4958446,344345,6990,56569,2018-09-17
Entertainment,2383217,207586,4289,20440,2018-09-12
Entertainment,2318883,172051,2065,13991,2018-09-12
Entertainment,1705095,172780,1892,15219,2018-09-11
Entertainment,2569636,275201,2894,21210,2018-09-11
Entertainment,2326662,192354,4427,27971,2018-09-10
Entertainment,1408962,117088,2542,25776,2018-09-10
Entertainment,2796942,345161,6853,61476,2018-09-04
Entertainment,2351458,216672,3400,18514,2018-09-03
Entertainment,1275340,119206,1969,34770,2018-09-02
Entertainment,2444115,159357,2080,21715,2018-09-02
Entertainment,3481504,322264,4647,38307,2018-08-29
Entertainment,2229082,194539,2584,32150,2018-08-27
Entertainment,1674010,141484,2682,30789,2018-08-25
Entertainment,2219136,139146,1991,21042,2018-08-25
Entertainment,4145099,246602,3635,49313,2018-08-23
Entertainment,2866156,234858,2314,40421,2018-08-23
Entertainment,4807477,267101,6325,54170,2018-08-21
Entertainment,3427413,257022,2949,27225,2018-08-04
Entertainment,1733263,123575,4109,27355,2018-07-29
Entertainment,4741671,376871,7123,168503,2018-07-28
Entertainment,5459050,406440,4541,67507,2018-07-25
Entertainment,5265503,249265,9186,26289,2018-06-21
Entertainment,2677987,129201,1903,8668,2018-06-21
Entertainment,1759584,105727,2026,11500,2018-06-20
Entertainment,2675986,136922,3082,14890,2018-06-20
Entertainment,6995298,522557,8737,165331,2018-06-19
Entertainment,11810671,401383,14266,71104,2018-06-16
Entertainment,2289972,128426,1806,12481,2018-06-08
Entertainment,2630525,242377,3422,28947,2018-06-06
Entertainment,3649216,310225,8678,29275,2018-06-05
Entertainment,2565014,135780,2391,10483,2018-06-03
Entertainment,2793411,135165,2655,19853,2018-06-03
Entertainment,5289781,332214,5913,44370,2018-05-28
Entertainment,2267029,167194,2070,141728,2018-05-22
Gaming,4845152,169875,5750,13873,2018-05-19
Entertainment,3542897,230326,4476,25465,2018-05-18
Entertainment,2316052,170218,1970,27395,2018-05-16
Gaming,2992795,131658,5268,15032,2018-05-13
Entertainment,4344136,254824,10393,55165,2018-05-12
Entertainment,2146201,104726,2115,13242,2018-05-08
Entertainment,3305722,178526,2272,19583,2018-04-17
Entertainment,5422322,255497,4417,41827,2018-04-14
Entertainment,3100167,155332,2538,16899,2018-03-29
Entertainment,2322473,185294,4159,33458,2018-03-25
Entertainment,2943725,189336,3570,15345,2018-03-21
Entertainment,7000097,338890,9421,44150,2018-03-17
Entertainment,3582407,165910,3671,15435,2018-03-14
Entertainment,2625072,139740,2278,13202,2018-03-14
Entertainment,6856857,302086,9368,39306,2018-02-27
Entertainment,3729288,242733,4742,15646,2018-02-26
Entertainment,2996675,186972,4373,23638,2018-02-26
Entertainment,5042355,331229,10997,50176,2018-02-18
Entertainment,2961223,218417,2527,14544,2018-02-16
Entertainment,3636990,266216,3460,24235,2018-02-15
Entertainment,4774264,314349,3115,52650,2018-02-14
Entertainment,4384931,189897,5306,25662,2018-02-13
Entertainment,7053657,352679,7042,33245,2018-02-13
Entertainment,2717108,220044,3865,42610,2018-02-07
Entertainment,2498979,123910,2444,13587,2018-01-26
Entertainment,5893608,259288,5099,62664,2018-01-25
Entertainment,2782102,302224,2749,16213,2018-01-25
Entertainment,3703160,165410,4508,35150,2018-01-21
Entertainment,5557549,276391,5141,28180,2018-01-20
Entertainment,6858206,354583,4950,70174,2018-01-19
Entertainment,4280913,275029,3965,49472,2018-01-18
Gaming,5819573,422511,5177,28627,2018-01-17
Entertainment,4666745,273747,3708,33710,2018-01-14
Music,19753045,1179406,15077,284006,2018-01-11
Entertainment,4752488,221552,4694,23033,2018-01-10
Entertainment,3773976,195692,3143,17283,2018-01-09
Entertainment,10444644,614679,35241,39950,2018-01-09
Entertainment,5104613,251823,6287,33140,2018-01-08
Entertainment,5331685,368512,5442,27738,2018-01-05
Entertainment,4683875,309084,5048,36850,2017-12-31
Entertainment,4262404,233377,3207,22287,2017-12-30
Entertainment,4428457,217374,4531,26279,2017-12-29
Entertainment,6706813,358240,4732,42756,2017-12-25
Entertainment,7810465,347022,4846,29876,2017-12-23
Entertainment,6032680,327203,3643,38726,2017-12-22
Entertainment,13532272,891706,12190,88493,2017-12-22
Entertainment,3438891,280626,2390,41269,2017-12-20
Entertainment,3694246,190034,3706,22117,2017-12-19
Entertainment,4567698,197684,3690,21849,2017-12-17
Entertainment,9261572,532190,19500,124051,2017-12-16
Entertainment,6950862,355943,6155,60170,2017-12-12
Entertainment,5424746,703498,5138,112937,2017-12-11
Gaming,3836920,166472,2317,11369,2017-12-10
Entertainment,4985313,241857,4469,22186,2017-12-09
Entertainment,6169434,675817,10835,71702,2017-12-08
Entertainment,4146834,245846,4270,14422,2017-12-07
Entertainment,3320275,291504,3137,51263,2017-12-06
Entertainment,5594312,258394,3314,27259,2017-12-05
Entertainment,3481886,196382,2499,27053,2017-12-04
Entertainment,4961933,383423,5520,49468,2017-12-01
Entertainment,4930706,230163,3465,19349,2017-11-30
Gaming,5973245,184626,5786,13950,2017-11-24
Entertainment,2258265,185128,2241,35900,2017-11-18
Entertainment,3950357,178616,2587,27375,2017-11-17
Entertainment,7034527,374566,8203,96452,2017-11-15
Entertainment,6365097,347642,5813,22598,2017-11-14
Entertainment,15591634,456490,11795,60148,2017-10-23
Entertainment,6324503,243774,3895,12612,2017-10-21
Entertainment,5896914,186375,4835,20295,2017-10-18
Entertainment,9420316,395717,9364,39052,2017-10-18
Entertainment,8581448,320544,5242,22112,2017-10-17
Entertainment,4340663,151870,3033,8684,2017-10-17
Entertainment,2744387,179388,2376,12069,2017-10-15
Entertainment,3288311,193207,3454,64913,2017-10-14
Entertainment,3189337,143382,4111,15372,2017-10-13
Entertainment,4393076,216806,3345,14785,2017-10-12
Entertainment,6001684,198197,4631,16257,2017-10-08
Entertainment,3794661,152661,4010,20034,2017-10-08
Entertainment,5191148,208502,4277,16113,2017-10-07
Entertainment,5402587,205596,4007,37265,2017-10-04
Entertainment,7050653,554270,13291,65441,2017-09-30
Gaming,3446123,185199,3275,69359,2017-09-29
Entertainment,4112609,187059,3479,16394,2017-09-27
Entertainment,2617250,199070,2627,16525,2017-09-25
Gaming,4446591,130380,3821,9441,2017-09-21
Entertainment,3589305,185490,4914,34067,2017-09-16
Gaming,10936259,393206,8014,184448,2017-09-15
Gaming,3908466,135349,3955,22024,2017-09-15
Gaming,2951217,152028,2542,8507,2017-09-13
Gaming,9946470,340003,7210,18000,2017-09-09
Gaming,7084126,180551,4339,17023,2017-09-08
Gaming,6808051,245725,7827,124016,2017-09-05
People & Blogs,10124872,374375,4713,18510,2017-09-05
Gaming,5295494,171640,3373,8623,2017-09-04
Gaming,7142082,238829,6365,35825,2017-09-04
Gaming,2939286,280842,5057,33769,2017-09-03
Gaming,6180896,157770,4531,10195,2017-09-02
Gaming,4367232,303255,5198,15503,2017-08-31
Gaming,4469919,191811,4166,21865,2017-08-31
Gaming,4476195,179663,2992,9863,2017-08-30
Gaming,9771657,305624,8118,43683,2017-08-29
Gaming,3966230,164360,3688,31326,2017-08-26
Entertainment,7235126,389175,7561,24224,2017-08-25
Entertainment,3994154,189796,2865,30151,2017-08-22
Entertainment,4716490,245441,4453,47439,2017-08-22
Entertainment,6538977,280337,4439,25098,2017-08-11
Gaming,3973680,220402,5243,30749,2017-08-10
Gaming,5313615,221335,5618,17490,2017-08-10
Gaming,7483840,321894,6081,17429,2017-08-06
Gaming,4326540,205756,4351,19743,2017-08-05
Gaming,7058378,221825,5288,21607,2017-08-04
Entertainment,6871172,332206,5296,15804,2017-08-04
Entertainment,11303682,438604,12668,64573,2017-08-01
Gaming,6496647,401270,6709,27600,2017-07-21
People & Blogs,7806449,374838,5159,28076,2017-07-10
Gaming,5507024,150068,3052,9666,2017-07-08
Gaming,7923821,300441,6954,36572,2017-07-06
Entertainment,5474027,226845,4286,16735,2017-07-02
Gaming,6454832,256441,6622,33268,2017-07-01
Entertainment,6662561,285430,7171,20395,2017-07-01
Entertainment,10045145,326521,9176,53108,2017-06-23
Gaming,6118322,265864,4296,18764,2017-06-19
Gaming,9377857,374828,6175,36390,2017-06-17
Gaming,8483523,263813,7122,12540,2017-06-16
Gaming,10076787,356571,7371,27827,2017-06-10
Gaming,6102745,241823,3867,18392,2017-06-08
Gaming,13793063,471440,11665,103600,2017-06-07
Gaming,6604558,180027,5848,11127,2017-06-06
Gaming,5962008,299714,6096,16709,2017-06-04
Gaming,4285449,493791,5022,30531,2017-06-03
Gaming,6535159,319769,5556,33991,2017-06-03
Gaming,16516119,417187,13263,33625,2017-05-30
Gaming,6058133,608187,6435,43374,2017-05-24
Gaming,7731955,246801,6083,16410,2017-05-23
Gaming,23559831,630989,18543,38623,2017-05-23
Entertainment,5244410,272145,6124,102658,2017-05-23
Entertainment,7856802,285530,4905,38739,2017-05-22
Gaming,7482854,179868,3609,13557,2017-05-21
Gaming,12409063,428792,9005,38908,2017-05-19
Gaming,8856338,270033,8494,18258,2017-05-18
Gaming,7090458,247472,12622,32609,2017-05-17
Gaming,6548251,237937,4834,77866,2017-05-17
Gaming,5740251,239559,4565,14879,2017-05-14
Entertainment,12354483,460340,10438,63743,2017-05-11
Gaming,13826178,383373,9853,18822,2017-05-10
Gaming,10685553,226986,5630,21288,2017-05-10
Gaming,6439801,255943,4356,36329,2017-05-09
Entertainment,7765333,305057,14148,33320,2017-05-08
Entertainment,11529079,777969,16700,115374,2017-05-08
Entertainment,9125896,297882,5297,18073,2017-05-07
Gaming,5054548,202425,3926,12787,2017-05-06
Gaming,9247681,469892,10373,94799,2017-05-05
Entertainment,10635840,301014,10962,89679,2017-05-05
Gaming,4336746,285284,3297,13675,2017-04-30
Gaming,9604668,472864,11410,76465,2017-04-21
Gaming,9247297,335576,6262,60447,2017-04-20
Gaming,11095829,236571,7779,20752,2017-04-08
Gaming,6217353,249930,9050,18536,2017-04-08
Gaming,9701737,238430,7819,20093,2017-04-07
Gaming,10095140,254795,6367,18236,2017-04-07
Gaming,8240260,355455,5773,37105,2017-04-04
Gaming,7363825,221437,5270,31009,2017-04-03
Gaming,11539989,377441,7925,166205,2017-03-31
Gaming,5006194,178550,3828,16224,2017-03-30
Gaming,7582324,175296,3696,17536,2017-03-29
Gaming,6595325,159174,3442,14074,2017-03-28
Entertainment,11569338,390439,10219,87997,2017-03-22
People & Blogs,1379413,117708,1408,55491,2017-03-22
Gaming,9978116,245162,5830,22639,2017-03-21
Gaming,12759295,390594,13177,69397,2017-03-19
Gaming,6892835,137177,4936,13592,2017-03-13
Gaming,5545014,188347,4517,19511,2017-03-12
Gaming,7071612,164676,5447,26839,2017-03-11
Gaming,8187118,331903,8350,24962,2017-03-08
Gaming,6368566,154158,3520,11427,2017-03-08
Gaming,10522359,272404,5658,16434,2017-03-08
Gaming,11632378,300546,7710,16228,2017-03-03
Gaming,7362738,167568,4567,16406,2017-03-01
Gaming,4655433,138374,6662,10208,2017-03-01
Gaming,7706413,193677,6184,42919,2017-02-18
Gaming,4961314,210120,2429,12415,2017-01-28
Gaming,8009856,213021,5832,22519,2017-01-27
Gaming,6792026,156285,4036,9963,2017-01-25
Gaming,8359968,243063,4419,16614,2017-01-20
Gaming,4304389,149610,3032,26259,2017-01-14
Gaming,2312372,117348,1828,9289,2017-01-08
People & Blogs,4862596,210044,3883,315824,2016-12-31
Entertainment,6048816,377158,5443,45629,2016-12-26
Gaming,7443552,504986,9203,53736,2016-12-09
Gaming,14190583,235067,7648,15836,2016-12-03
Gaming,4973485,132941,2273,9314,2016-11-30
Gaming,6758682,187969,3982,12481,2016-11-22
Gaming,10864385,177210,4856,27910,2016-11-19
Gaming,8934165,239581,3063,12364,2016-11-15
Gaming,11637766,234215,5647,40887,2016-11-14
Gaming,10729290,210726,5336,30101,2016-11-10
Gaming,5056836,124611,4006,7732,2016-11-08
Gaming,8005840,168034,4627,7377,2016-11-01
Gaming,1981117,108708,1856,9401,2016-10-27
Gaming,8191079,188224,6766,8921,2016-10-27
Gaming,7704833,285687,6569,61613,2016-10-23
Gaming,3238978,135600,2667,12835,2016-10-22
Gaming,20501660,468275,18721,38158,2016-10-20
Gaming,10468364,416892,7722,40479,2016-10-19
Gaming,6239578,403390,5593,25842,2016-10-17
Gaming,3051934,117208,1463,6205,2016-10-14
Gaming,6384533,197550,2270,10826,2016-10-12
Gaming,5210923,140640,3406,9715,2016-10-09
Gaming,1710989,96964,1343,7272,2016-10-05
Gaming,5001364,173611,2212,14764,2016-10-01
Gaming,7191694,164270,3174,9503,2016-09-28
Gaming,9506080,356414,4345,19650,2016-09-26
Gaming,10436108,441268,10753,50533,2016-09-24
Gaming,3451954,121879,4270,7805,2016-09-18
Gaming,9308877,239413,3843,12638,2016-09-15
Gaming,6237452,165891,4040,7842,2016-09-14
Gaming,7728575,261731,3165,31829,2016-09-13
Gaming,3896191,136537,2648,6962,2016-09-10
Gaming,7992730,253736,3635,12524,2016-09-08
Gaming,8907209,252378,4991,11524,2016-09-06
Gaming,7110681,407087,5758,25369,2016-08-07
Gaming,13458625,225236,9174,10120,2016-08-05
Gaming,12340788,347925,10639,102414,2016-08-04
Entertainment,8153893,173379,5148,13094,2016-07-28
Entertainment,5779872,166040,4541,9070,2016-07-24
Entertainment,8734558,160261,5533,11382,2016-06-08
Entertainment,3906206,162398,2937,6538,2016-06-02
Gaming,5077493,135417,2565,16230,2016-06-01
Entertainment,8112137,158687,4025,9075,2016-05-31
Entertainment,4166019,160603,5763,10235,2016-05-28
Entertainment,5164918,227969,2938,6308,2016-05-26
Entertainment,3864889,112647,2886,7453,2016-05-13
Entertainment,12580337,200351,6755,39212,2016-04-25
Gaming,4567497,198406,5656,19137,2016-04-20
Gaming,6628177,156186,4088,9931,2016-04-15
Gaming,12115302,213515,6725,179925,2016-04-03
Gaming,17392702,241991,7744,7413,2016-03-31
Gaming,5357447,176737,4110,12694,2016-03-27
Gaming,5013104,174876,3535,7569,2016-03-18
Gaming,26260295,339080,17183,18503,2016-03-05
Gaming,11737209,251686,14396,20273,2016-03-03
Gaming,9292771,173302,3998,73275,2016-03-03
Gaming,4194718,167542,3613,10917,2016-02-03
Gaming,6629605,250276,4235,16239,2016-01-19
Gaming,10572346,170536,3752,13440,2016-01-15
Gaming,9670545,421327,5124,20507,2016-01-15
Gaming,11566285,203500,6396,13508,2016-01-12
Gaming,22932163,314366,12193,78231,2016-01-11
Entertainment,13421932,297520,5551,17713,2016-01-09
Entertainment,12011022,235451,5012,11335,2016-01-09
Entertainment,9355998,310110,26482,51841,2016-01-08
Entertainment,26898420,501096,11581,29513,2016-01-04
