Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Music,1432405,159585,367,8441,2015-11-19
Music,622753,50408,193,1168,2015-11-13
Music,282794,35280,112,1363,2015-11-09
Music,403739,34925,61,832,2015-11-06
Music,816708,50228,100,2528,2015-11-05
Music,1162083,69567,129,3859,2015-11-04
Music,1343984,53168,754,1924,2015-09-22
Music,749672,66931,176,2065,2015-07-27
Music,486817,54927,68,1245,2015-07-20
Music,1081388,66046,133,1589,2015-07-14
Music,492007,58559,110,2040,2015-07-14
Music,958865,84044,278,2465,2015-07-08
Music,311997,20816,88,949,2015-02-28
Music,264907,16482,49,656,2015-02-19
Music,512041,34912,83,743,2015-02-17
Music,253770,15375,41,326,2015-02-12
Music,475716,35803,108,1510,2015-02-09
Music,292071,16531,62,348,2015-01-30
Music,420919,22642,87,583,2015-01-26
Music,368735,22382,60,741,2015-01-21
Music,10926920,186617,1342,7887,2014-12-21
Music,234188,13395,49,211,2014-12-01
Music,245691,14277,76,1102,2014-11-29
Music,245923,13027,37,222,2014-11-29
Music,159243,9604,25,64,2014-11-28
Music,141992,8439,19,94,2014-11-28
Music,13219051,172014,2147,8480,2014-11-28
Music,200629,11239,17,115,2014-11-27
Music,177212,10047,13,98,2014-11-27
Music,3355374,42619,312,945,2014-11-27
Music,278803,12534,29,77,2014-11-26
Music,3462411,56011,261,1242,2014-11-26
Music,310440,15306,25,201,2014-11-26
Music,806944,53919,120,2254,2014-11-23
Music,324728,33772,62,1071,2014-11-19
Music,54330965,562357,6802,27575,2014-11-17
Music,471651,30602,97,621,2014-11-14
Music,958177,37705,196,2202,2014-11-13
Music,5240851,0,0,11593,2014-11-09
Music,31301096,378728,5505,21183,2014-11-09
Music,588925,31921,93,813,2014-11-06
Music,673304,42059,97,1673,2014-10-13
Music,226353,14091,29,296,2014-10-09
Music,1243258,38619,136,1079,2014-10-09
Music,204978,14068,30,326,2014-10-09
Music,355203,17002,53,310,2014-10-09
Music,351163,18599,58,705,2014-10-02
Music,323168,23107,148,702,2014-09-26
Music,313215,27243,68,729,2014-09-25
Music,1645277,61121,234,3525,2014-09-08
Music,360000,17042,95,311,2014-08-19
Music,392804,19838,78,405,2014-08-15
Music,453448,20969,101,408,2014-08-14
Music,536938,29398,116,616,2014-08-13
Music,4193740,125757,725,4100,2014-08-06
Music,2367416,75688,379,3264,2014-07-22
Music,986375,55241,141,2454,2014-07-21
Music,754573,36981,215,2491,2014-06-16
Music,466069,36249,270,1560,2014-06-10
Music,1573454,72515,672,4488,2014-05-19
Music,2715416,116483,551,8102,2014-04-02
Music,286530,20582,63,365,2014-04-01
Music,586037,31241,94,1169,2014-04-01
Music,973013,55757,332,3342,2014-02-27
Music,1264720,42852,295,2023,2014-01-28
Music,331750,6477,66,283,2013-12-25
Music,595524,11626,136,561,2013-12-25
Music,466082,11001,179,468,2013-12-25
Music,227812,5884,50,262,2013-12-25
