Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,3150191,252739,6469,32452,2018-09-16
Entertainment,4192301,313007,4406,40479,2018-09-15
Entertainment,3996708,578963,4089,32012,2018-09-13
Entertainment,6500366,455689,7428,46730,2018-09-12
Entertainment,3614811,375193,3833,22379,2018-09-11
Entertainment,3664133,208496,3488,19794,2018-09-10
Entertainment,4013674,246985,5467,21974,2018-09-09
Entertainment,4486877,347506,6327,22906,2018-09-08
Entertainment,4017862,293139,3112,24515,2018-09-07
Entertainment,5000702,401322,21223,41204,2018-09-06
Entertainment,3947877,302352,3552,24572,2018-09-04
Entertainment,3179614,332740,7091,61468,2018-09-03
Entertainment,4553952,333316,5348,28114,2018-09-02
Entertainment,3667745,291678,3757,31725,2018-09-01
Entertainment,4668639,411511,4530,21092,2018-08-31
Gaming,4699648,297630,7830,27628,2018-08-30
Entertainment,7243583,507216,17287,70779,2018-08-29
Entertainment,5423930,346815,8302,30160,2018-08-28
Entertainment,2408127,154214,2184,18224,2018-08-28
Gaming,5152645,332474,5316,28332,2018-08-26
Entertainment,14226545,550001,22744,65723,2018-08-25
Entertainment,2365950,130032,3711,10454,2018-08-24
People & Blogs,4351951,305272,3469,39981,2018-08-24
Entertainment,3852791,296435,5235,27295,2018-08-17
Gaming,6429631,289308,4810,59915,2018-08-16
Entertainment,5755699,403364,5735,37070,2018-08-15
Entertainment,6132839,341065,5389,23973,2018-08-14
Gaming,7387521,439881,5684,50036,2018-08-12
Entertainment,4869651,710848,5056,106595,2018-08-10
Entertainment,9365610,443382,13561,57500,2018-08-08
Entertainment,6232065,357656,3940,49567,2018-08-07
Entertainment,5529363,449012,7554,29740,2018-08-06
Gaming,4141491,254605,4803,20981,2018-08-05
Entertainment,4453265,237105,3528,26353,2018-08-04
Entertainment,6948729,749284,4716,59468,2018-08-03
Entertainment,6884072,441607,4329,40901,2018-08-02
Entertainment,6199148,564186,7097,26026,2018-07-29
Entertainment,6088052,374347,8644,45208,2018-07-28
Entertainment,4464134,709401,3892,30648,2018-07-27
Entertainment,3317151,132475,2568,20482,2018-07-26
Entertainment,8787614,509138,11870,57098,2018-07-22
Gaming,5499760,421464,4894,56397,2018-07-21
Entertainment,6114079,918545,10723,38293,2018-07-20
Entertainment,13138997,612197,26760,68139,2018-07-19
Entertainment,6657138,411344,7485,31179,2018-07-18
Entertainment,10119037,529428,22371,60617,2018-07-17
Entertainment,4962661,282517,4897,33829,2018-07-16
Gaming,5282300,347234,7437,27428,2018-07-15
Gaming,5019343,249184,3533,14515,2018-07-14
Gaming,4556185,310441,3973,19306,2018-07-13
Gaming,4164043,283226,4282,28722,2018-07-12
Gaming,3934777,300526,4109,27581,2018-07-11
Entertainment,5602623,302274,2699,21187,2018-07-10
Entertainment,3987813,287790,4599,29083,2018-07-08
Entertainment,5363832,306510,5734,28895,2018-07-07
Entertainment,4347016,304829,2518,31299,2018-07-05
