Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,54833,3154,119,0,2018-09-27
Entertainment,185281,4441,58,169,2018-09-27
Entertainment,73562,2416,21,0,2018-09-27
Entertainment,49833,1287,61,193,2018-09-27
Entertainment,446636,9546,346,940,2018-09-26
Entertainment,82069,1608,11,71,2018-09-26
Entertainment,421665,10877,235,0,2018-09-26
Entertainment,40458,1212,7,48,2018-09-26
Entertainment,108022,2220,19,123,2018-09-26
Entertainment,519102,12483,215,688,2018-09-26
Entertainment,106308,5123,67,352,2018-09-26
Entertainment,445210,6539,72,186,2018-09-25
Entertainment,356755,8052,134,198,2018-09-25
Entertainment,537081,8065,62,231,2018-09-25
Entertainment,57718,1767,29,127,2018-09-25
Entertainment,806481,11468,168,355,2018-09-25
Entertainment,934015,17968,173,403,2018-09-25
Entertainment,121765,2934,41,200,2018-09-24
Entertainment,167407,3952,46,0,2018-09-24
Entertainment,77559,3468,35,0,2018-09-24
Entertainment,187290,2852,178,252,2018-09-24
Entertainment,244575,4613,54,318,2018-09-24
Entertainment,43789,724,22,48,2018-09-24
Entertainment,189625,3851,20,210,2018-09-24
Entertainment,176104,3816,83,266,2018-09-23
Entertainment,182474,6489,186,438,2018-09-22
Entertainment,320033,5064,91,252,2018-09-22
Entertainment,217969,5654,115,339,2018-09-21
Entertainment,5378846,89027,3153,6144,2018-09-21
Entertainment,161857,2456,47,82,2018-09-21
Entertainment,346977,5952,57,240,2018-09-21
Entertainment,2780173,39033,683,2684,2018-09-21
Entertainment,280059,4410,51,139,2018-09-21
Entertainment,115105,2189,47,0,2018-09-21
Entertainment,84416,1326,10,55,2018-09-21
Entertainment,133829,3830,39,166,2018-09-20
Entertainment,48821,630,31,77,2018-09-20
Entertainment,1053002,8946,285,516,2018-09-20
Entertainment,294882,2296,81,256,2018-09-20
Entertainment,17623,438,29,57,2018-09-20
Entertainment,199094,1861,81,220,2018-09-20
Entertainment,217120,3720,121,378,2018-09-20
Entertainment,247389,2612,45,132,2018-09-20
Entertainment,94337,4085,46,286,2018-09-19
Entertainment,45803,975,10,37,2018-09-19
Entertainment,127287,2167,25,0,2018-09-19
Entertainment,755695,5654,215,880,2018-09-19
Entertainment,4093916,120055,1271,0,2018-09-19
Entertainment,152312,5421,158,266,2018-09-18
Entertainment,3773946,80640,1678,0,2018-09-18
Entertainment,84297,1554,60,0,2018-09-18
Entertainment,450706,9234,79,321,2018-09-18
Entertainment,2524251,30421,501,567,2018-09-18
Entertainment,1270621,18222,368,691,2018-09-18
Entertainment,146713,4773,90,0,2018-09-17
Entertainment,219965,4408,55,228,2018-09-17
Entertainment,222727,5736,81,357,2018-09-17
Entertainment,999444,12592,394,0,2018-09-16
Entertainment,535940,6587,130,262,2018-09-16
Entertainment,599483,13035,163,0,2018-09-15
Entertainment,520468,6905,102,224,2018-09-15
Entertainment,388009,18489,219,1114,2018-09-15
Entertainment,959312,14348,323,771,2018-09-15
Entertainment,55798,1921,22,83,2018-09-14
Entertainment,191974,4056,85,0,2018-09-14
Entertainment,557241,13641,159,292,2018-09-14
Entertainment,1158768,36600,360,0,2018-09-14
Entertainment,576345,8434,170,245,2018-09-14
Entertainment,125310,1971,71,212,2018-09-13
Entertainment,241078,3766,62,116,2018-09-13
Entertainment,3082847,62223,1234,0,2018-09-13
Entertainment,633212,8744,116,225,2018-09-13
