Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,377483,20137,863,1878,2017-02-28
Entertainment,156297,10496,284,572,2016-09-23
Entertainment,3090474,127875,1907,4848,2016-03-21
Entertainment,1094184,49649,373,1444,2016-03-14
Entertainment,489720,33079,133,3252,2016-03-04
Entertainment,456709,45372,146,1810,2015-12-23
Entertainment,743339,35600,299,1331,2015-11-09
Entertainment,516550,31202,261,934,2015-11-03
Entertainment,3501327,96929,994,2555,2015-10-27
Entertainment,2397085,94574,1644,2176,2015-10-19
Entertainment,1912675,80941,1608,2264,2015-09-17
Entertainment,475234,25434,152,721,2015-09-10
Entertainment,13521261,283649,2424,9698,2015-09-08
Entertainment,460988,33164,206,1397,2015-08-29
Entertainment,137084,14534,120,487,2015-08-29
Entertainment,13353980,300780,6756,20290,2015-04-14
Entertainment,1101520,38269,872,1654,2015-01-07
Entertainment,738087,30660,502,1118,2015-01-07
Entertainment,2184010,62149,1015,7127,2014-01-01
Entertainment,1320488,60276,757,3441,2013-12-17
Entertainment,726595,43048,242,1974,2013-11-29
Entertainment,730001,41244,245,1981,2013-11-22
Entertainment,1797223,67255,1215,4941,2013-11-16
Entertainment,883117,55345,349,4122,2013-11-09
Entertainment,1478363,64951,496,8260,2013-11-02
Non-profits & Activism,1658266,94626,1235,14821,2013-10-28
Entertainment,1030937,46794,260,4273,2013-10-25
Entertainment,1603801,64604,576,4819,2013-10-18
Entertainment,2069060,102234,1297,11881,2013-10-17
Entertainment,1617448,61642,496,7378,2013-10-11
Entertainment,3566752,94856,1856,22896,2013-07-15
Entertainment,9947181,216235,4481,37551,2013-01-18
Entertainment,2844218,50440,1499,5780,2012-11-06
Music,3650017,55282,1757,14417,2012-07-27
Entertainment,565406,19701,363,3326,2012-07-03
Entertainment,3796367,60824,2863,12417,2012-06-22
Entertainment,420550,9019,208,775,2012-06-20
Music,678130,12757,360,1376,2012-06-19
Music,1470452,33823,389,2799,2012-06-17
Music,960791,27208,242,2904,2012-06-16
Music,1424260,23583,950,9224,2012-06-15
Music,1044094,25145,223,2169,2012-06-15
Music,2580000,54010,621,8730,2012-06-14
Music,1528908,32419,379,4808,2012-06-13
Music,2310155,62429,2760,14745,2012-06-12
Music,1371581,21621,855,2757,2012-05-29
Music,2410722,38958,1664,10277,2012-04-18
Music,2653113,24514,1094,5635,2012-04-09
Music,4269685,36164,2180,7950,2012-04-03
Music,16586852,84128,7324,31942,2012-03-30
Music,3649685,41937,1397,6204,2012-03-26
Music,1879144,26032,736,5077,2012-03-24
Music,1264819,16817,1047,3585,2012-03-23
Music,917167,13940,631,3042,2012-03-23
Music,1210412,22084,309,1709,2012-03-20
Music,2233046,28454,941,4063,2011-10-28
Music,2104082,27758,1349,3545,2011-10-21
Music,2385468,35931,1151,6580,2011-10-16
Music,13640008,122358,10928,24334,2011-04-30
Music,5347060,58740,4377,12103,2011-02-10
Music,6598778,44764,29597,20296,2011-01-20
Music,3564265,24909,2366,3360,2011-01-13
Music,3800542,24168,4274,6107,2011-01-05
Entertainment,2816774,19744,9985,6356,2010-12-07
Music,2121733,23388,2562,4276,2010-11-28
Music,5511640,49189,6148,11068,2010-10-26
Music,8959442,32533,1529,4335,2010-04-20
Music,12504132,69330,31061,24293,2010-03-30
Music,4185019,28284,3344,6841,2010-03-25
Music,2565067,25739,990,4252,2010-03-17
Music,1185006,13605,740,2208,2010-03-01
Music,14905768,99866,6371,14410,2010-02-12
Music,13828468,87511,5705,24169,2010-01-13
Music,8526198,81807,5852,13601,2009-12-23
Music,2134426,16126,1381,2690,2009-12-04
Music,9776137,46083,3512,8091,2009-11-25
Music,1604561,13440,1202,2153,2009-11-17
Music,2973946,15990,1571,3718,2009-11-09
Music,4340184,30315,1053,3439,2009-10-06
Music,3085735,21000,2357,4798,2009-09-29
Music,886616,8126,419,678,2009-09-16
Music,1401930,11578,814,1445,2009-09-02
Music,19189352,118804,6371,20305,2009-08-20
Music,2581627,24689,1227,3972,2009-08-18
Music,2917053,32120,1167,4470,2009-08-12
Music,10464300,49340,3104,9203,2009-08-04
Music,947346,7960,374,1228,2009-07-14
Music,4238994,21045,1232,3940,2009-07-07
Music,432740,6513,252,451,2009-06-24
Music,5823986,49584,3604,7212,2009-06-19
Music,997263,11009,260,607,2009-05-14
Music,3168493,24160,710,1855,2009-04-10
Music,5630379,77493,1089,11517,2008-11-17
Music,765073,9542,228,376,2008-10-28
