Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Music,177170,20556,4756,1487,2018-09-27
Music,180319,19068,2142,1463,2018-09-27
Music,389715,31306,1690,881,2018-09-26
Music,1130155,95575,4404,3672,2018-09-24
Music,2830071,147472,4593,6155,2018-09-22
Music,287302,23160,564,615,2018-09-21
Music,1271516,70555,1804,1721,2018-09-21
Music,463570,35844,2752,1625,2018-09-21
Music,2139555,118007,3217,4213,2018-09-20
Music,295653,17217,1723,828,2018-09-19
Music,1259528,68544,3831,1746,2018-09-19
Music,294732,43928,696,2615,2018-09-19
Music,523760,29745,1597,722,2018-09-18
Music,417226,22628,1975,792,2018-09-18
Music,2657314,119376,2438,2494,2018-09-18
Music,250394,15024,1781,627,2018-09-17
Music,1983875,208119,2810,7193,2018-09-15
Music,1146740,57072,2847,1751,2018-09-14
Music,299956,14165,3296,675,2018-09-13
Music,850805,46839,2821,1334,2018-09-12
Music,44636891,1440821,34865,47677,2018-09-11
Music,6546372,227648,9067,5458,2018-09-06
Music,6865396,195747,5140,4629,2018-09-05
Music,5814413,166546,3341,3067,2018-09-05
Music,324792,14879,4039,1135,2018-09-04
Music,2090384,86813,2745,1893,2018-09-03
Music,7236928,210035,4611,4088,2018-09-03
Music,710338,42186,1389,1179,2018-08-31
Music,322195,14341,6430,1378,2018-08-30
Music,565647,25925,4644,1772,2018-08-29
Music,2695012,93045,2329,3008,2018-08-28
Music,4976342,167597,6555,6522,2018-08-27
Music,18203419,397178,10298,9104,2018-08-24
Music,3688437,37584,2282,1803,2018-08-22
Music,4620645,139354,3095,2699,2018-08-21
Music,21457607,467133,16935,39229,2018-08-13
Music,61733272,1388332,92949,103492,2018-08-09
Music,3319763,111886,3987,2551,2018-08-08
Music,3109277,116372,3788,2347,2018-08-03
Music,9392566,163486,6567,3676,2018-08-02
Music,445520,21661,2426,1021,2018-08-01
Music,21243507,487871,17608,12352,2018-07-30
Music,2761342,111992,5910,3662,2018-07-27
Music,6677363,162409,16880,5970,2018-07-25
Music,10828123,213747,9072,6555,2018-07-25
Music,4979755,150849,3448,3061,2018-07-23
Music,4019162,115688,5083,2302,2018-07-20
Music,739487,26587,2167,828,2018-07-19
Music,22540317,625440,29923,24186,2018-07-18
Music,54270308,749900,25917,27956,2018-07-17
Music,7839028,184488,27386,15292,2018-07-16
Music,13747408,236346,5227,5308,2018-07-10
Music,110560426,1689365,1102545,207546,2018-07-09
Music,19073760,228417,9589,5218,2018-07-04
Music,11524391,162163,8858,2785,2018-07-03
Music,1415139,46403,3493,2015,2018-07-02
Music,76258509,1096360,47682,53026,2018-06-27
Music,26651683,480957,28529,16589,2018-06-25
Music,2235936,63936,3368,1616,2018-06-22
Music,2082329,76444,12143,3257,2018-06-20
Music,52987811,1148579,56399,43819,2018-06-19
Music,2804840,79888,3033,2641,2018-06-18
Music,7620556,91833,4333,2829,2018-06-18
Music,6676920,207546,6108,5687,2018-06-15
Music,2043272,86243,2693,1717,2018-06-14
Music,30412638,719023,14758,21376,2018-06-12
Music,23636917,603079,28885,16118,2018-06-09
Music,37689226,531862,16234,15026,2018-06-08
Music,28646685,502649,12279,9782,2018-06-06
Music,21955627,231260,9612,3740,2018-06-05
Music,4281438,55428,2849,2027,2018-06-04
Music,18807585,245603,7399,4120,2018-06-01
Music,9224692,105196,4196,3026,2018-05-31
