Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,37055532,1402843,46293,230121,2016-11-20
Entertainment,27794546,1589236,32158,338710,2016-09-23
Entertainment,29800991,1353085,31224,122183,2016-06-05
Entertainment,32293774,1291741,26058,232283,2016-03-15
Entertainment,29350279,1081084,24629,107830,2015-12-25
Entertainment,60595441,1818934,32306,198325,2015-10-25
Entertainment,27534823,1005518,17401,133196,2015-09-25
Entertainment,48800553,1502555,22509,103613,2015-09-18
Entertainment,32220853,1181591,18754,119169,2015-08-21
Entertainment,52313715,1317692,22479,167816,2015-07-03
Entertainment,29982516,896370,12749,143635,2015-06-21
Entertainment,32936147,884785,21099,48346,2015-06-14
Entertainment,24690704,859015,13045,55245,2015-05-23
Entertainment,30996787,1057919,16138,49205,2015-05-16
Entertainment,25508482,892427,22246,83308,2015-03-22
Entertainment,51343682,1494836,33785,143900,2015-01-17
Entertainment,16071750,640489,11282,54504,2015-01-10
Entertainment,35325597,2218762,49345,140432,2014-12-06
Entertainment,34423109,962525,14356,90253,2014-11-29
Entertainment,37111620,1077879,17090,70651,2014-11-08
Entertainment,30379096,1023848,11689,53468,2014-11-03
Entertainment,61265127,1585815,26839,212037,2014-10-25
Entertainment,35521764,961085,15046,96390,2014-09-27
Entertainment,37865490,1495195,22648,96630,2014-09-13
Entertainment,17917243,460156,11923,24671,2014-08-27
Entertainment,46520290,2726957,59472,195291,2014-08-01
Entertainment,24876995,796272,10959,71766,2014-07-26
Entertainment,20937184,708130,10250,112042,2014-07-12
Entertainment,37905520,945231,16016,97684,2014-07-05
Entertainment,32423659,850420,19730,143611,2014-06-14
Entertainment,22563081,850683,10993,54901,2014-06-06
Entertainment,38136454,1713339,24717,99119,2014-05-31
Entertainment,14749763,912393,16456,116085,2014-04-05
Entertainment,47419427,1104730,18567,116681,2014-03-29
Entertainment,49373192,1282648,21381,109820,2014-03-08
Entertainment,36246628,1212376,20838,102419,2014-03-01
Entertainment,23409862,686183,10793,88330,2014-02-15
Entertainment,63835204,1607057,29383,184579,2014-02-07
Entertainment,49775207,1614077,25389,146458,2014-02-01
Entertainment,41896259,1371420,18519,138797,2014-01-25
Entertainment,21490969,984476,11644,150687,2014-01-18
Entertainment,32058450,1024124,13217,90871,2014-01-11
People & Blogs,7115033,355567,8290,32382,2013-12-28
Entertainment,32484445,1262431,24257,155937,2013-12-14
Entertainment,28047287,1041133,18377,92207,2013-12-01
Entertainment,23662747,714830,12747,165317,2013-11-16
