Channel Category,Views,Likes,Dislikes,Comments,Publish Date
Entertainment,94976,534,67,177,2010-04-23
Entertainment,140218,771,40,59,2010-04-23
Entertainment,52582,312,29,25,2010-04-23
Entertainment,21710,102,23,5,2010-04-23
Entertainment,332161,952,308,105,2010-04-23
Entertainment,23696,137,15,13,2010-04-23
Entertainment,27368,238,9,10,2010-04-23
Entertainment,16475,98,7,7,2010-04-23
Entertainment,17243,115,10,7,2010-04-23
Entertainment,378799,1439,114,27,2010-04-23
Entertainment,31806,207,10,20,2010-04-23
Entertainment,13260,70,5,10,2010-04-23
Entertainment,19969,87,12,18,2010-04-23
Entertainment,25909,171,11,5,2010-04-23
Entertainment,21362,154,12,10,2010-04-23
Entertainment,11614,75,2,0,2010-04-22
Entertainment,15943,98,7,0,2010-04-22
Entertainment,22314,117,6,0,2010-04-22
Entertainment,19141,123,5,0,2010-04-22
Entertainment,7765,43,4,0,2010-04-22
Entertainment,18785,94,3,0,2010-04-22
Entertainment,7553,43,1,0,2010-04-21
Entertainment,197540,1230,137,0,2010-04-21
Entertainment,10100,69,8,0,2010-04-21
Entertainment,1833230,6631,479,0,2010-04-21
Entertainment,169509,752,36,0,2010-04-21
Entertainment,327868,2935,85,0,2010-04-21
Entertainment,164912,1911,62,0,2010-04-21
Entertainment,9524,58,5,0,2010-04-21
Entertainment,19350,105,6,0,2010-04-21
Entertainment,3814,10,1,0,2010-04-21
Entertainment,5061,44,3,0,2010-04-21
Entertainment,22652,106,5,0,2010-04-21
Entertainment,88178,537,13,0,2010-04-21
Entertainment,144110,748,44,0,2010-04-21
Entertainment,5573,36,8,0,2010-04-21
Entertainment,7340,54,4,0,2010-04-21
Entertainment,2494,13,5,0,2010-04-21
Entertainment,9603,75,8,0,2010-04-21
Entertainment,13394,66,6,0,2010-04-21
Entertainment,979,5,0,0,2010-04-21
Entertainment,18756,122,4,0,2010-04-21
Entertainment,3337,8,2,0,2010-04-21
Entertainment,1588,12,1,0,2010-04-21
Entertainment,3356,24,1,0,2010-04-21
Entertainment,8543,86,6,0,2010-04-21
Entertainment,1024151,4404,228,0,2010-04-21
Entertainment,1284,9,3,0,2010-04-21
Entertainment,9171,72,2,0,2010-04-21
Entertainment,2116,16,0,0,2010-04-21
Entertainment,17329,51,1,0,2010-04-21
Entertainment,679360,2758,210,0,2010-04-21
Entertainment,1182,10,1,0,2010-04-21
Entertainment,661,5,0,0,2010-04-21
Entertainment,1101,5,0,0,2010-04-21
Entertainment,4897,44,1,0,2010-04-20
Entertainment,96005,742,124,0,2010-04-20
Entertainment,58633,474,22,0,2010-04-20
Entertainment,73776,442,103,0,2010-04-20
Entertainment,2084367,7263,708,0,2010-04-20
Entertainment,191636,1021,51,0,2010-04-20
Entertainment,18131,150,4,0,2010-04-20
Entertainment,31743,199,26,0,2010-04-20
Entertainment,34182,242,22,0,2010-04-20
Entertainment,13153,56,3,0,2010-04-20
Entertainment,19149,159,12,0,2010-04-20
Entertainment,3717,12,0,0,2010-04-20
Entertainment,303268,1991,103,0,2010-04-17
Entertainment,45425,212,12,0,2010-04-17
Entertainment,525,5,1,0,2010-04-17
Entertainment,40953,305,8,0,2010-04-17
Entertainment,5707,47,0,0,2010-04-17
Entertainment,1184,7,1,0,2010-04-17
Entertainment,2067,13,0,0,2010-04-17
Entertainment,4687,30,3,0,2010-04-17
Entertainment,2441,24,2,0,2010-04-17
Entertainment,241908,1144,54,0,2010-04-17
Entertainment,45373,172,10,0,2010-04-17
Entertainment,11255,65,2,0,2010-04-16
Entertainment,1704,18,0,0,2010-04-16
Entertainment,2387,13,4,0,2010-04-16
Entertainment,108456,353,60,0,2010-04-16
Entertainment,8090,55,6,0,2010-04-16
Entertainment,26057,91,13,0,2010-04-16
Entertainment,6833,35,3,0,2010-04-16
Entertainment,82058,430,23,0,2010-04-16
Entertainment,16100,41,1,0,2010-04-16
Entertainment,1472,13,1,0,2010-04-16
Entertainment,1468,17,2,0,2010-04-16
Entertainment,17502,97,3,0,2010-04-15
Entertainment,1240,6,0,0,2010-04-15
Entertainment,1708,11,0,0,2010-04-15
Entertainment,11215,83,4,0,2010-04-15
Entertainment,3171,23,1,0,2010-04-15
Entertainment,10470,11,2,0,2010-04-15
Entertainment,3422,20,0,0,2010-04-15
Entertainment,541,4,1,0,2010-04-15
Entertainment,273,2,0,0,2010-04-15
Entertainment,17405,116,10,0,2010-04-14
Entertainment,7769,44,2,0,2010-04-14
Entertainment,36385,151,4,0,2010-04-14
Entertainment,2457,18,2,0,2010-04-14
Entertainment,79018,686,13,0,2010-04-14
Entertainment,9664,71,2,0,2010-04-14
Entertainment,4379,16,4,0,2010-04-14
Entertainment,11650,55,3,0,2010-04-14
Entertainment,305,2,1,0,2010-04-14
Entertainment,3257,9,1,0,2010-04-14
Entertainment,2745,19,1,0,2010-04-14
Entertainment,14229,86,4,0,2010-04-14
Entertainment,4160,17,0,0,2010-04-14
Entertainment,1781,7,0,0,2010-04-14
Entertainment,28463,147,19,0,2010-04-13
Entertainment,3156293,10925,1236,0,2010-04-13
Entertainment,2559,12,2,0,2010-04-13
Entertainment,459,3,0,0,2010-04-13
Entertainment,311649,1481,73,0,2010-04-13
Entertainment,2391,12,0,0,2010-04-13
Entertainment,1325,17,1,0,2010-04-13
Entertainment,11068,38,1,0,2010-04-13
Entertainment,970,6,0,0,2010-04-13
Entertainment,1013,3,0,0,2010-04-13
Entertainment,698,3,0,0,2010-04-13
Entertainment,2694,6,0,0,2010-04-13
Entertainment,1028,4,0,0,2010-04-13
Entertainment,728,8,1,0,2010-04-12
Entertainment,56119,421,8,0,2010-04-12
Entertainment,143015,614,26,0,2010-04-12
Entertainment,3850,8,1,0,2010-04-12
Entertainment,46087,237,34,0,2010-04-12
Entertainment,2412,12,1,0,2010-04-12
Entertainment,44658,299,27,0,2010-04-12
Entertainment,3885,22,0,0,2010-04-12
Entertainment,79342,259,16,0,2010-04-12
Entertainment,63019,394,8,0,2010-04-12
Entertainment,52417,294,42,0,2010-04-12
Entertainment,19220,142,8,0,2010-04-12
Entertainment,3295,8,1,0,2010-04-12
Entertainment,23466,88,3,0,2010-04-12
Entertainment,15332352,69930,4322,0,2010-04-12
Entertainment,53787,369,15,0,2010-04-12
Entertainment,70714,572,38,0,2010-04-12
Entertainment,13359,70,3,0,2010-04-12
Entertainment,2515,10,2,0,2010-04-12
Entertainment,6602,38,2,0,2010-04-12
Entertainment,548,3,0,0,2010-04-12
Entertainment,52462,342,13,0,2010-04-12
Entertainment,11843,106,7,0,2010-04-12
Entertainment,3306,12,1,0,2010-04-12
Entertainment,9395,14,0,0,2010-04-12
Entertainment,3538,5,1,0,2010-04-12
Entertainment,10981,26,2,0,2010-04-12
Entertainment,9500,57,2,0,2010-04-12
Entertainment,3187,15,0,0,2010-04-12
Entertainment,9421,49,1,0,2010-04-12
Entertainment,2619,9,1,0,2010-04-12
Entertainment,253518,849,120,0,2010-04-11
Entertainment,27997,67,3,0,2010-04-11
Entertainment,195511,847,39,0,2010-04-11
Entertainment,4294,13,0,0,2010-04-11
Entertainment,4747,29,4,0,2010-04-11
Entertainment,5949,21,0,0,2010-04-11
Entertainment,4464,20,0,0,2010-04-11
Entertainment,650,4,0,0,2010-04-11
Entertainment,3928,18,2,0,2010-04-11
Entertainment,2407747,9888,1689,0,2010-04-11
Entertainment,8005,58,3,0,2010-04-11
Entertainment,947,5,0,0,2010-04-11
Entertainment,20802,82,5,0,2010-04-11
Entertainment,75675,336,26,0,2010-04-11
Entertainment,6174,37,6,0,2010-04-11
Entertainment,5295,37,1,0,2010-04-11
Entertainment,49525,292,42,0,2010-04-11
Entertainment,953,5,0,0,2010-04-11
Entertainment,1369621,15006,315,0,2010-04-11
Entertainment,36487,254,10,0,2010-04-11
Entertainment,4665,25,1,0,2010-04-11
Entertainment,34522,146,7,0,2010-04-11
Entertainment,101,1,0,0,2010-04-11
Entertainment,16137,125,3,0,2010-04-11
Entertainment,10234,58,4,0,2010-04-11
Entertainment,174553,487,63,0,2010-04-11
Entertainment,6185,41,5,0,2010-04-11
Entertainment,9775,23,2,0,2010-04-11
Entertainment,172422,1288,28,0,2010-04-11
Entertainment,2239,8,0,0,2010-04-11
Entertainment,445,5,0,0,2010-04-11
Entertainment,8847,47,4,0,2010-04-11
Entertainment,2890,10,2,0,2010-04-11
Entertainment,4057,12,0,0,2010-04-10
Entertainment,553849,1072,93,0,2010-04-10
Entertainment,3821,27,3,0,2010-04-10
Entertainment,93675,193,14,0,2010-04-10
Entertainment,761520,7444,215,0,2010-04-10
Entertainment,303,0,0,0,2010-04-10
Entertainment,13491,84,7,0,2010-04-10
Entertainment,2973,19,2,0,2010-04-10
Entertainment,2369,14,2,0,2010-04-10
Entertainment,3837,28,0,0,2010-04-10
Entertainment,884,3,0,0,2010-04-10
Entertainment,2518,12,0,0,2010-04-10
Entertainment,4057,26,1,0,2010-04-10
Entertainment,945,6,1,0,2010-04-10
Entertainment,66311,420,36,0,2010-04-10
Entertainment,3849,43,0,0,2010-04-10
Entertainment,1459,14,4,0,2010-04-10
Entertainment,419,6,1,0,2010-04-10
Entertainment,35433,211,4,0,2010-04-10
Entertainment,163937,660,14,0,2010-04-10
Entertainment,476,1,0,0,2010-04-10
Entertainment,92730,686,13,0,2010-04-10
Entertainment,4074,37,2,0,2010-04-10
Entertainment,1457,12,2,0,2010-04-10
Entertainment,1123419,6646,744,0,2010-04-10
Entertainment,13448,87,15,0,2010-04-10
Entertainment,4194,17,0,0,2010-04-10
Entertainment,10395,47,1,0,2010-04-10
Entertainment,20172,103,12,0,2010-04-10
Entertainment,47086,330,17,0,2010-04-10
Entertainment,57480,598,20,0,2010-04-10
Entertainment,68804,833,27,0,2010-04-10
Entertainment,179502,785,24,0,2010-04-10
Entertainment,13253,43,5,0,2010-04-10
Entertainment,823,3,0,0,2010-04-10
Entertainment,45593,130,14,0,2010-04-10
Entertainment,250,1,0,0,2010-04-10
Entertainment,4752,35,5,0,2010-04-10
Entertainment,16415,97,108,0,2010-04-10
Entertainment,208,6,0,0,2010-04-10
Entertainment,56288,392,22,0,2010-04-10
Entertainment,9406,57,1,0,2010-04-10
Entertainment,40019,415,7,0,2010-04-10
Entertainment,5508,10,6,0,2010-04-10
Entertainment,11904,38,1,0,2010-04-10
Entertainment,18626,60,5,0,2010-04-10
Entertainment,26254,172,2,0,2010-04-10
Entertainment,1672,7,0,0,2010-04-10
Entertainment,695,1,1,0,2010-04-10
Entertainment,2931,15,2,0,2010-04-10
Entertainment,658,3,0,0,2010-04-10
Entertainment,1457,6,1,0,2010-04-10
Entertainment,953967,5853,408,178,2010-04-10
Entertainment,317,3,1,0,2010-04-10
Entertainment,17670,86,8,0,2010-04-10
Entertainment,382,3,0,0,2010-04-10
Entertainment,853,8,1,0,2010-04-10
Entertainment,42384,253,12,0,2010-04-10
Entertainment,1536,7,0,0,2010-04-10
Entertainment,165035,723,100,0,2010-04-10
Entertainment,2298,8,0,0,2010-04-10
Entertainment,3081,25,1,0,2010-04-10
Entertainment,3109,3,0,0,2010-04-10
Entertainment,2018,13,1,0,2010-04-10
Entertainment,4141,22,0,0,2010-04-10
Entertainment,2540,20,0,0,2010-04-10
Entertainment,40335,206,19,0,2010-04-10
Entertainment,709,4,0,0,2010-04-10
Entertainment,1791,7,3,0,2010-04-10
Entertainment,1877119,7182,750,0,2010-04-10
Entertainment,1590,5,1,0,2010-04-10
Entertainment,448,4,0,0,2010-04-10
Entertainment,99140,347,55,0,2010-04-10
Entertainment,2080,34,0,0,2010-04-10
Entertainment,90801,378,67,0,2010-04-10
Entertainment,127,0,0,0,2010-04-10
Entertainment,21293,112,4,0,2010-04-10
Entertainment,14075,93,4,0,2010-04-10
Entertainment,2637,24,1,0,2010-04-10
Entertainment,523,3,0,0,2010-04-10
Entertainment,123988,426,21,0,2010-04-10
Entertainment,7920,50,1,0,2010-04-10
Entertainment,7128,45,1,0,2010-04-10
Entertainment,1194,7,0,0,2010-04-10
Entertainment,21816,176,3,0,2010-04-10
Entertainment,1744,2,0,0,2010-04-10
Entertainment,286888,1216,84,0,2010-04-10
Entertainment,28323,231,20,0,2010-04-10
Entertainment,3092,10,0,0,2010-04-10
Entertainment,1260,5,0,0,2010-04-10
Entertainment,11728,59,10,0,2010-04-10
Entertainment,8217,21,2,0,2010-04-10
Entertainment,6440,32,1,0,2010-04-10
Entertainment,11714,48,2,0,2010-04-10
Entertainment,2646,7,2,0,2010-04-10
Entertainment,365,2,0,0,2010-04-10
Entertainment,2019,8,2,0,2010-04-10
Entertainment,206,0,0,0,2010-04-10
Entertainment,406,2,0,0,2010-04-09
Entertainment,1163,9,0,0,2010-04-09
Entertainment,17117,56,3,0,2010-04-09
Entertainment,20878,98,4,0,2010-04-08
Entertainment,78460,961,32,0,2010-04-07
Entertainment,1182496,10258,475,0,2010-04-07
Entertainment,246059,2169,76,0,2010-04-07
Entertainment,2945027,7155,1166,0,2010-04-07
Entertainment,6144,33,3,0,2010-04-07
Entertainment,55084,404,15,0,2010-04-04
Entertainment,25105,112,19,0,2010-04-04
Entertainment,20445,88,6,0,2010-04-04
Entertainment,754,15,0,0,2010-04-04
Entertainment,14165,142,3,0,2010-04-04
Entertainment,2318542,8861,1098,0,2010-04-04
Entertainment,27326,150,5,0,2010-04-04
Entertainment,289206,1512,65,0,2010-04-04
Entertainment,2464,13,29,0,2010-04-04
Entertainment,1781,17,0,0,2010-04-04
Entertainment,2263,1,0,0,2010-04-04
Entertainment,1227,12,0,0,2010-04-04
Entertainment,6735,24,0,0,2010-04-04
Entertainment,100832,607,84,0,2010-04-04
Entertainment,3572,33,0,0,2010-04-04
